OBJECTID,STRKAFS,NAVN,FORKORTELSE,FRA_KM,TIL_KM,KM,BANEKLASSE,BEMAERKNING,BTRTYPE,CENTER_UTM_X,CENTER_UTM_Y,HVDSTRK,HVDSTRK_NAVN,HVDSTRK_FORK,DELSTRK_NAVN,DELSTRK_FORK,DELSTRK,BANENR,BANENR_NAVN,BANENR_FORK,KPMSTRK,RELEASE,RELEASEDATO,STRKAFS_PARENT,TIB,SOURCEOBJECTID,BTRTYPETEKST,BANEKLASSETEKST,CENTER_GPS_X,CENTER_GPS_Y,GLOBALID,Shape__Area,Shape__Length
368135,664305,Rosenhøj,Rh,,,30.6,6,,4,571345.3004,6219700.3692,664,Odder - (Aarhus H),Odd-Ar,Odder - (Aarhus H),Odd-Ar,664000,,,,664,,6/17/2026 8:54:23 AM,664028,37,2494,Trinbræt,Privatbane,10.14744357,56.11705175,cea09f3d-25dc-4052-b387-60846deb79f9,1526.931640625,196.85510940608
368136,826026,Birkerød - Allerød,Bi-Li,24.748,28.766,,9,,1,,,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,,820,2118,Fri Bane,S-bane,,,58ae3e83-278f-4766-9fad-ac85a50cc8a2,133658.117675781,8198.54188299507
368137,826029,Allerød,Li,28.766,30.375,29.335,9,,2,710034.32108462,6196783.21833966,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,,820,1891,Station,S-bane,12.35718404,55.87068422,4fa40f4f-0d4e-4b98-9686-d00b8be45636,64952.6181640625,3313.63137301101
368138,826032,Allerød - Hillerød,Li-Hi,30.375,35.625,,9,,1,,,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,,820,2019,Fri Bane,S-bane,,,bfd8e011-aee6-4ab1-8517-24ff1cc3794a,153437.808837891,10595.2640180753
368139,826109,Bernstorffsvej,Bft,9.172,9.369,9.3,9,,4,723351.0120389,6183165.6299351,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,826010,820,2424,Trinbræt,S-bane,12.55841755,55.74258063,74693fa3-e42b-46ec-b71f-7329ad53748b,7596.6044921875,721.917970384426
368140,826125,Jægersborg,Jæt,12.447,12.642,12.56,9,,4,720859.78065984,6185210.97777538,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,826012,"602,820",2418,Trinbræt,S-bane,12.52046554,55.76206595,d6e3d9dc-96cf-4d00-b3b3-5e3a81e2e26e,7859.0693359375,477.93109776687
368141,826165,Sorgenfri,Sft,15.624,15.831,15.728,9,,4,718499.2317229,6187188.58417759,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,826016,820,2407,Trinbræt,S-bane,12.48450102,55.78087343,fccde49a-8508-4159-be80-0fb81ed2d0bd,9327.76806640625,504.071269306801
368142,826171,Virum,Vir,17.588,17.762,17.7,9,,4,717667.40404633,6188933.60144445,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,826016,820,2408,Trinbræt,S-bane,12.47265657,55.79689897,a7a5440a-f810-4743-88cc-627f4cf4bf40,8473.2421875,451.170156540222
368143,826270,Høvelte,Høv,26.245,26.422,26.3,9,,4,712106.6542323,6194669.24267414,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,826026,820,2394,Trinbræt,S-bane,12.38859067,55.85081603,c31fafa9-4a89-4e37-a8da-bd5cd255b62c,6010.4384765625,439.892839129976
368144,616008,Ruds Vedby - Skellebjerg,Ruv-Skl,7.617,11.64,,6,,1,,,616,(Høng) - (Tølløse) ,Øn-Tø,(Høng) - (Tølløse) ,Øn-Tø,616000,,,,616,,6/17/2026 8:54:23 AM,,616,2162,Fri Bane,Privatbane,,,d4793a1d-fd37-4266-92af-b1325360df42,112829.117919922,8115.34543274072
368145,616011,Skellebjerg,Skl,11.64,12.29,11.978,6,,2,654527.64,6157392.431,616,(Høng) - (Tølløse) ,Øn-Tø,(Høng) - (Tølløse) ,Øn-Tø,616000,,,,616,,6/17/2026 8:54:23 AM,,616,1673,Station,Privatbane,11.44882522,55.53806152,b4ef65c8-7954-4227-a1ac-775b7af1642f,19272.8352050781,1360.20251791944
368146,616014,Skellebjerg - Dianalund,Skl-Dia,12.29,14.63,,6,,1,,,616,(Høng) - (Tølløse) ,Øn-Tø,(Høng) - (Tølløse) ,Øn-Tø,616000,,,,616,,6/17/2026 8:54:23 AM,,616,2163,Fri Bane,Privatbane,,,c5f00d4f-3727-4e0e-a7e4-6532d6fa8fb2,65338.3676757813,4723.110572561
368147,616015,Dianalund,Dia,14.63,15.51,15.2,6,,2,657723.44686766,6157049.92229302,616,(Høng) - (Tølløse) ,Øn-Tø,(Høng) - (Tølløse) ,Øn-Tø,616000,,,,616,,6/17/2026 8:54:23 AM,,616,1674,Station,Privatbane,11.49922116,55.53396472,9dd1dcd7-d9a4-4488-90cf-c2e71bf12b6b,25871.9987792969,1822.52263589184
368148,616016,Dianalund - Stenlille,Dia-Stl,15.51,20.88,,6,,1,,,616,(Høng) - (Tølløse) ,Øn-Tø,(Høng) - (Tølløse) ,Øn-Tø,616000,,,,616,,6/17/2026 8:54:23 AM,,616,2164,Fri Bane,Privatbane,,,15bf43c6-ee63-45dc-ae9d-826f77f1a5b4,150401.057861328,10799.3544821326
368149,665002,Lemvig - Strande,Lmv-Sta,1.25,10,,6,,1,,,665,(Lemvig) - Thyborøn Havn,Lmv-Thb,(Lemvig) - Thyborøn Havn,Lmv-Thb,665000,,,,665,,6/17/2026 8:54:23 AM,,665,38113,Fri Bane,Privatbane,,,7fa0f7f4-4a92-426c-8232-bbd56673ef6a,245534.292724609,17594.2411319281
368150,665003,Balleby,Bat,3.66,3.7,3.7,6,,4,453411.505085,6267280.181086,665,(Lemvig) - Thyborøn Havn,Lmv-Thb,(Lemvig) - Thyborøn Havn,Lmv-Thb,665000,,,,665,,6/17/2026 8:54:23 AM,665002,665,38114,Trinbræt,Privatbane,8.24224745,56.54755,5ea29ebc-81f5-4faa-b57c-9536ef065749,1115.087890625,135.649301067887
368151,665007,Klinkby,Kli,6.59,6.63,6.5,6,,4,452045.30316,6269278.332416,665,(Lemvig) - Thyborøn Havn,Lmv-Thb,(Lemvig) - Thyborøn Havn,Lmv-Thb,665000,,,,665,,6/17/2026 8:54:23 AM,665002,665,38115,Trinbræt,Privatbane,8.21965942,56.56536257,6bdc4151-d411-476e-9bc9-c476524a8063,1166.30102539063,139.267786204969
368152,665009,Nejrup,Net,8.63,8.67,8.7,6,,4,450083.100949,6269328.293346,665,(Lemvig) - Thyborøn Havn,Lmv-Thb,(Lemvig) - Thyborøn Havn,Lmv-Thb,665000,,,,665,,6/17/2026 8:54:23 AM,665002,665,38129,Trinbræt,Privatbane,8.18772351,56.56560693,c5800423-b2ab-47f5-94ab-68e31ac5fdfc,1174.171875,139.869528389037
368153,665011,Strande,Sta,10,10.81,10.3,6,,2,448400.773453,6269729.467393,665,(Lemvig) - Thyborøn Havn,Lmv-Thb,(Lemvig) - Thyborøn Havn,Lmv-Thb,665000,,,,665,,6/17/2026 8:54:23 AM,,665,38130,Station,Privatbane,8.16027114,56.56902892,b29d2997-1648-409c-98c9-463cfd0313ef,23536.8017578125,1685.78019633623
368154,826345,Favrholm,Fvt,34.446,34.627,34.536,9,,4,707200.834621,6201055.176841,82,København H - Hillerød,Kh-Hi,Hellerup - Hillerød,Hl-Hi,826000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,826032,820,28608,Trinbræt,S-bane,12.31524815,55.91022983,8b774b86-b67f-4ab6-aeb8-2e3ad2474988,4142.67797851563,410.322748726744
368155,827000,Hillerød,Hi,35.625,37.664,36.5,9,,2,706862.7444314,6202947.28524514,82,København H - Hillerød,Kh-Hi,Hillerød,Hi,827000,82,(Svanemøllen) - Hillerød,Sam-Hi,82,,6/17/2026 8:54:23 AM,,"9,604,606,820",32161,Station,S-bane,12.31129683,55.92734753,43547f01-570b-4fac-8c6b-bac2f97e3da1,138665.034423828,4546.36798481572
368156,832006,Valby - Vanløse,Val-Van,4.74,6.5,,9,,1,,,83,Valby - Frederikssund,Val-Fs,Valby - Vanløse,Val-Van,832000,83,(Valby) - Frederikssund,Val-Fs,83,,6/17/2026 8:54:23 AM,,830,2074,Fri Bane,S-bane,,,5157a185-5aab-4f78-ae84-3e18f214716a,69678.041015625,3625.58654673582
368157,832065,Langgade,Vat,4.746,4.923,4.8,9,,4,720364.44092749,6174657.24121553,83,Valby - Frederikssund,Val-Fs,Valby - Vanløse,Val-Van,832000,83,(Valby) - Frederikssund,Val-Fs,83,,6/17/2026 8:54:23 AM,832006,830,2465,Trinbræt,S-bane,12.50409314,55.66764031,0a62eec2-88c4-47e6-9395-408601e31b53,8199.67041015625,453.333926928771
368158,832069,Peter Bangsvej,Pbt,5.809,5.988,5.9,9,,4,720299.50081277,6175747.14694195,83,Valby - Frederikssund,Val-Fs,Valby - Vanløse,Val-Van,832000,83,(Valby) - Frederikssund,Val-Fs,83,,6/17/2026 8:54:23 AM,832006,830,2450,Trinbræt,S-bane,12.50393721,55.67744471,0f6bfcf9-bec5-48e9-a431-bb5d0c70f699,6247.84423828125,431.241038820346
368159,832071,Flintholm,Fl,6.684,6.872,6.8,9,,4,719943.7820094,6176570.5379505,83,Valby - Frederikssund,Val-Fs,Valby - Vanløse,Val-Van,832000,83,(Valby) - Frederikssund,Val-Fs,83,,6/17/2026 8:54:23 AM,833000,830,2400,Trinbræt,S-bane,12.4989512,55.68499063,6ad95fc8-176b-402f-a606-a0b34e5ee900,6350.3828125,440.174590361058
368160,833000,Vanløse,Van,6.5,8.081,7.3,9,,2,719508.03230091,6176770.72954593,83,Valby - Frederikssund,Val-Fs,Vanløse,Van,833000,83,(Valby) - Frederikssund,Val-Fs,83,,6/17/2026 8:54:23 AM,,830,1898,Station,S-bane,12.49219378,55.68698326,5692c339-6c98-425e-a495-17ce6040d70a,75888.3666992188,3461.18689582679
368161,834010,Vanløse - Herlev,Van-Her,8.081,11.473,,9,,1,,,83,Valby - Frederikssund,Val-Fs,Vanløse - Ballerup,Van-Ba,834000,83,(Valby) - Frederikssund,Val-Fs,83,,6/17/2026 8:54:23 AM,,830,2037,Fri Bane,S-bane,,,3c4f0d12-1811-4396-88a1-16a52076ce23,86095.26171875,6900.39214948526
368162,834011,Herlev,Her,11.473,12.898,12.34,9,,2,716252.49134068,6180165.51985664,83,Valby - Frederikssund,Val-Fs,Vanløse - Ballerup,Van-Ba,834000,83,(Valby) - Frederikssund,Val-Fs,83,,6/17/2026 8:54:23 AM,,830,2223,Station,S-bane,12.4431855,55.71889256,3cea32a1-c4bd-4b33-aa7c-91531a635c5e,46286.9819335938,2919.69766777035
